study_id,last_name,first_name,ssn,date_of_birth,street_address,city,state,zip_code,age_of_onset,sex_at_birth,race,ethnicity,country_of_birth,years_in_us,registration_date,diagnosis_date,case_definition,diagnosis_code,site_of_disease,sputum_smear_result,sputum_culture_result,chest_xray_finding,drug_susceptibility_result,hiv_status,comorbidity_other,treatment_regimen,treatment_start_date,treatment_end_date,treatment_outcome
TB-2024-001,Martinez,Elena,928-04-1173,1985-03-14,118 Maple Ave,Fresno,CA,93701,41,Female,White,Hispanic or Latino,Mexico,12,2024-02-03,2024-02-10,New,A15.0,Pulmonary,Positive,Positive,Cavitary infiltrate right upper lobe,Pan-susceptible,Negative,None,"First-line: Isoniazid, Rifampin, Pyrazinamide, Ethambutol (HRZE)",2024-02-14,2024-08-13,Completed
TB-2024-002,Nguyen,Thanh,934-71-2298,1958-11-02,47 Willow St Apt 4,Houston,TX,77036,67,Male,Asian,Not Hispanic or Latino,Vietnam,30,2024-01-15,2024-01-22,New,A15.0,Pulmonary,Positive,Positive,Cavitary infiltrate bilateral,Isoniazid-resistant,Negative,Diabetes mellitus type 2,"Modified first-line: Rifampin, Pyrazinamide, Ethambutol, Levofloxacin",2024-01-25,2024-10-25,Completed
TB-2024-003,Johnson,Robert,911-58-3067,1972-07-19,902 Oakwood Dr,Atlanta,GA,30310,53,Male,Black or African American,Not Hispanic or Latino,United States,N/A,2024-02-26,2024-03-05,New,A15.0,Pulmonary,Negative,Positive,Non-cavitary infiltrate left lower lobe,Pan-susceptible,Positive,None,"First-line: Isoniazid, Rifampin, Pyrazinamide, Ethambutol (HRZE)",2024-03-08,Ongoing,Still on treatment
TB-2024-004,Reyes,Carmen,945-22-6614,1990-05-27,220 Sunset Blvd,Los Angeles,CA,90026,35,Female,White,Hispanic or Latino,Guatemala,6,2024-03-25,2024-04-01,New,A18.2,Extrapulmonary (lymphatic),N/A,Positive,Normal,Pan-susceptible,Negative,None,"First-line: Isoniazid, Rifampin, Pyrazinamide, Ethambutol (HRZE)",2024-04-05,2024-10-05,Completed
TB-2024-005,Patel,Amitabh,902-63-4485,1965-09-09,15 Cedar Ln,Edison,NJ,08817,60,Male,Asian,Not Hispanic or Latino,India,20,2024-02-09,2024-02-18,Relapse,A15.0,Pulmonary,Positive,Positive,Cavitary infiltrate right upper lobe,Rifampin-resistant (RR-TB),Negative,None,"Second-line RR-TB regimen: Bedaquiline, Linezolid, Levofloxacin, Clofazimine",2024-02-22,2024-05-15,Lost to follow-up
TB-2024-006,Williams,Angela,917-84-2951,1948-12-30,3301 Birchwood Ct,Detroit,MI,48213,77,Female,Black or African American,Not Hispanic or Latino,United States,N/A,2024-01-02,2024-01-09,New,A15.0,Pulmonary,Positive,Positive,Cavitary infiltrate left upper lobe,Pan-susceptible,Negative,Chronic malnutrition,"First-line: Isoniazid, Rifampin, Pyrazinamide, Ethambutol (HRZE)",2024-01-12,2024-02-20,Died
TB-2024-007,Kim,Soo-jin,939-17-7702,1995-02-11,88 Harbor View Rd,Seattle,WA,98118,30,Female,Asian,Not Hispanic or Latino,South Korea,3,2024-03-11,2024-03-20,New,A15.0,Pulmonary,Negative,Positive,Non-cavitary infiltrate,Pan-susceptible,Negative,None,"First-line: Isoniazid, Rifampin, Pyrazinamide, Ethambutol (HRZE)",2024-03-24,Ongoing,Still on treatment
TB-2024-008,Okafor,Chinedu,921-39-5518,1980-06-04,76 Grove St,Newark,NJ,07102,45,Male,Black or African American,Not Hispanic or Latino,Nigeria,9,2024-02-19,2024-02-27,New,A15.6,Extrapulmonary (pleural),N/A,Positive,Pleural effusion right,Pan-susceptible,Positive,None,"First-line: Isoniazid, Rifampin, Pyrazinamide, Ethambutol (HRZE)",2024-03-02,2024-12-02,Completed
TB-2024-009,Garcia,Luis,908-46-9163,1937-04-23,512 Pine St,El Paso,TX,79901,88,Male,White,Hispanic or Latino,Mexico,45,2024-04-02,2024-04-10,New,A15.0,Pulmonary,Positive,Positive,Cavitary infiltrate right lower lobe,Pan-susceptible,Negative,Diabetes mellitus type 2,"First-line: Isoniazid, Rifampin, Pyrazinamide, Ethambutol (HRZE)",2024-04-14,Ongoing,Still on treatment
TB-2024-010,Chen,Wei,916-72-3390,1968-10-16,40 Lakeview Dr,San Jose,CA,95112,57,Male,Asian,Not Hispanic or Latino,China,15,2024-01-21,2024-01-30,Treatment after failure,A15.0,Pulmonary,Positive,Positive,Cavitary infiltrate bilateral,Multidrug-resistant (MDR-TB),Negative,Alcohol use disorder,"Second-line MDR-TB regimen: Bedaquiline, Linezolid, Clofazimine, Cycloserine",2024-02-03,2025-08-03,Completed
